Symbol  ,Date,Expiry,Option type  ,Strike Price,Open  ,High  ,Low  ,Close  ,LTP,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value
NIFTY,16-Jun-23,28-Dec-23,CE,18000,1540,1670.5,1538,1623.7,1620,1623.7,3885,38037.38,3072.38,1408775,-102100,18826
NIFTY,19-Jun-23,28-Dec-23,CE,18000,1644.2,1654.65,1568,1592.25,1586.3,1592.25,2010,19706.45,1616.45,1348225,-60550,18755.45
NIFTY,20-Jun-23,28-Dec-23,CE,18000,1551,1615.85,1501.05,1600.9,1613,1600.9,970,9488.78,758.78,1329575,-18650,18816.7
NIFTY,21-Jun-23,28-Dec-23,CE,18000,1604.45,1640.05,1577.7,1628.45,1630.5,1628.45,1898,18613.92,1531.92,1321825,-7750,18856.85
NIFTY,22-Jun-23,28-Dec-23,CE,18000,1603,1646.6,1570.95,1583.05,1584,1583.05,450,4412.09,362.09,1319225,-2600,18771.25
NIFTY,23-Jun-23,28-Dec-23,CE,18000,1530.25,1540.55,1487,1491,1490,1491,515,5023.54,388.54,1316925,-2300,18665.5
NIFTY,26-Jun-23,28-Dec-23,CE,18000,1481,1519.6,1461.15,1495.75,1495.05,1495.75,390,3799.86,289.86,1318525,1600,18691.2
NIFTY,27-Jun-23,28-Dec-23,CE,18000,1525.05,1577.5,1505.65,1567.35,1567,1567.35,1160,11327.49,887.49,1331975,13450,18817.4
NIFTY,28-Jun-23,28-Dec-23,CE,18000,1601.95,1743.95,1594.9,1704.65,1702,1704.65,6076,59853.27,5169.27,1495575,163600,18972.1
NIFTY,30-Jun-23,28-Dec-23,CE,18000,1751.7,1854.95,1750.5,1844.2,1854,1844.2,1456,14422.67,1318.67,1481575,-14000,19189.05
NIFTY,03-Jul-23,28-Dec-23,CE,18000,1882.35,1980,1878,1960.4,1975,1960.4,1271,12676.74,1237.74,1466325,-15250,19322.55
NIFTY,04-Jul-23,28-Dec-23,CE,18000,2001.8,2069.8,1956,2014.4,2009.6,2014.4,647,6474.8,651.8,1457975,-8350,19389
NIFTY,05-Jul-23,28-Dec-23,CE,18000,1994.7,2042.05,1980.85,2019.2,2037.6,2019.2,3538,35400.13,3558.13,1403425,-54550,19398.5
NIFTY,06-Jul-23,28-Dec-23,CE,18000,1999.95,2103.2,1999.95,2082.7,2092,2082.7,6011,60324.89,6225.89,1284225,-119200,19497.3
NIFTY,07-Jul-23,28-Dec-23,CE,18000,2069.3,2121.3,1962.2,1972.4,1969.35,1972.4,2481,24834.37,2505.37,1219525,-64700,19331.8
NIFTY,10-Jul-23,28-Dec-23,CE,18000,2018.75,2048.9,1952.7,1978.4,1991,1978.4,2470,24719.93,2489.93,1110125,-109400,19355.9
NIFTY,11-Jul-23,28-Dec-23,CE,18000,2050,2101,2034.2,2044.95,2059.35,2044.95,1024,10275.75,1059.75,1072175,-37950,19439.4
NIFTY,12-Jul-23,28-Dec-23,CE,18000,2071.3,2082.2,2007.6,2016.95,2021.3,2016.95,1073,10752.09,1095.09,1035975,-36200,19384.3
NIFTY,13-Jul-23,28-Dec-23,CE,18000,2046.9,2150.9,2022,2032.45,2064,2032.45,805,8095.17,850.17,1010475,-25500,19413.75
NIFTY,14-Jul-23,28-Dec-23,CE,18000,2086,2170,2048.25,2140.45,2166.1,2140.45,540,5426.01,566.01,993825,-16650,19564.5
NIFTY,17-Jul-23,28-Dec-23,CE,18000,2165.45,2279.9,2150,2266.3,2279.65,2266.3,1032,10429.86,1141.86,961075,-32750,19711.45
NIFTY,18-Jul-23,28-Dec-23,CE,18000,2304.5,2351.75,2269,2304.15,2297,2304.15,602,6112.22,694.22,946575,-14500,19749.25
NIFTY,19-Jul-23,28-Dec-23,CE,18000,2335,2390,2304.15,2374.05,2390,2374.05,440,4476.71,516.71,937475,-9100,19833.15
NIFTY,20-Jul-23,28-Dec-23,CE,18000,2374.8,2512.75,2340,2501.95,2493.65,2501.95,866,8856.62,1062.62,921575,-15900,19979.15
NIFTY,21-Jul-23,28-Dec-23,CE,18000,2432.2,2465.3,2335.65,2374.25,2392.95,2374.25,1301,13276,1567,913625,-7950,19745
NIFTY,24-Jul-23,28-Dec-23,CE,18000,2346,2399,2300,2309.05,2300,2309.05,692,7039.77,811.77,910625,-3000,19672.35
